customer_id,first_name,last_name,email,support_rep_id
1,Luís,Gonçalves,luisg@embraer.com.br,3
2,Leonie,Köhler,leonekohler@surfeu.de,5
3,François,Tremblay,ftremblay@gmail.com,3
4,Bjørn,Hansen,bjorn.hansen@yahoo.no,4
5,František,Wichterlová,frantisekw@jetbrains.com,4
6,Helena,Holý,hholy@gmail.com,5
7,Astrid,Gruber,astrid.gruber@apple.at,5
8,Daan,Peeters,daan_peeters@apple.be,4
9,Kara,Nielsen,kara.nielsen@jubii.dk,4
10,Eduardo,Martins,eduardo@woodstock.com.br,4
11,Alexandre,Rocha,alero@uol.com.br,5
12,Roberto,Almeida,roberto.almeida@riotur.gov.br,3
13,Fernanda,Ramos,fernadaramos4@uol.com.br,4
14,Mark,Philips,mphilips12@shaw.ca,5
15,Jennifer,Peterson,jenniferp@rogers.ca,3
16,Frank,Harris,fharris@google.com,4
17,Jack,Smith,jacksmith@microsoft.com,5
18,Michelle,Brooks,michelleb@aol.com,3
19,Tim,Goyer,tgoyer@apple.com,3
20,Dan,Miller,dmiller@comcast.com,4
21,Kathy,Chase,kachase@hotmail.com,5
22,Heather,Leacock,hleacock@gmail.com,4
23,John,Gordon,johngordon22@yahoo.com,4
24,Frank,Ralston,fralston@gmail.com,3
25,Victor,Stevens,vstevens@yahoo.com,5
26,Richard,Cunningham,ricunningham@hotmail.com,4
27,Patrick,Gray,patrick.gray@aol.com,4
28,Julia,Barnett,jubarnett@gmail.com,5
29,Robert,Brown,robbrown@shaw.ca,3
30,Edward,Francis,edfrancis@yachoo.ca,3
31,Martha,Silk,marthasilk@gmail.com,5
32,Aaron,Mitchell,aaronmitchell@yahoo.ca,4
33,Ellie,Sullivan,ellie.sullivan@shaw.ca,3
34,João,Fernandes,jfernandes@yahoo.pt,4
35,Madalena,Sampaio,masampaio@sapo.pt,4
36,Hannah,Schneider,hannah.schneider@yahoo.de,5
37,Fynn,Zimmermann,fzimmermann@yahoo.de,3
38,Niklas,Schröder,nschroder@surfeu.de,3
39,Camille,Bernard,camille.bernard@yahoo.fr,4
40,Dominique,Lefebvre,dominiquelefebvre@gmail.com,4
41,Marc,Dubois,marc.dubois@hotmail.com,5
42,Wyatt,Girard,wyatt.girard@yahoo.fr,3
43,Isabelle,Mercier,isabelle_mercier@apple.fr,3
44,Terhi,Hämäläinen,terhi.hamalainen@apple.fi,3
45,Ladislav,Kovács,ladislav_kovacs@apple.hu,3
46,Hugh,O'Reilly,hughoreilly@apple.ie,3
47,Lucas,Mancini,lucas.mancini@yahoo.it,5
48,Johannes,Van der Berg,johavanderberg@yahoo.nl,5
49,Stanisław,Wójcik,stanisław.wójcik@wp.pl,4
50,Enrique,Muñoz,enrique_munoz@yahoo.es,5
51,Joakim,Johansson,joakim.johansson@yahoo.se,5
52,Emma,Jones,emma_jones@hotmail.com,3
53,Phil,Hughes,phil.hughes@gmail.com,3
54,Steve,Murray,steve.murray@yahoo.uk,5
55,Mark,Taylor,mark.taylor@yahoo.au,4
56,Diego,Gutiérrez,diego.gutierrez@yahoo.ar,4
57,Luis,Rojas,luisrojas@yahoo.cl,5
58,Manoj,Pareek,manoj.pareek@rediff.com,3
59,Rishabh,Mishra,rishabh_mishra@yahoo.in,3
